Model,Hardware,Total MACs,Latency (s),Energy (J),Area (mm^2)
Transformer (base),deap_cnn,9663676416,0.0002359296,0.00788415401984,10.8352
Transformer (base),gpu_a100,9663676416,2.1966894926350246e-05,0.015593859370317513,15.600000000000001
Transformer (base),holylight,9663676416,0.000147456,0.00793011305472,16.864
Transformer (base),lightbulb_photonic,9663676416,5.89824e-05,0.00783052714496,30.5408
Transformer (base),pidcop_small_10G,9663676416,0.0002359296,0.0212718851072,21.248
Transformer (base),pidcop_small_25G,9663676416,9.437184e-05,0.0212648072192,21.248
Transformer (base),pidcop_large_10G,9663676416,4.533531814599362e-05,0.0212623553931073,108.332
Transformer (base),pidcop_large_25G,9663676416,1.8134127258397447e-05,0.02126099533356292,108.332
Transformer (base),pidcop_asymmetric_10G,9663676416,0.00010342119452054794,0.021265259686926028,47.488
Transformer (base),pidcop_asymmetric_25G,9663676416,4.136847780821918e-05,0.02126215705109041,47.488
Transformer (base),pixel_photonic,9663676416,0.0002359296,0.0101539383808,8.8
Transformer (base),tpu_v4,9663676416,7.86432e-06,0.011910984499199999,24.576
Transformer (big),deap_cnn,38654705664,0.0009437184,0.031536615464960005,10.8352
Transformer (big),gpu_a100,38654705664,8.786757970540098e-05,0.06237543748127005,15.600000000000001
Transformer (big),holylight,38654705664,0.000589824,0.03172045175808,16.864
Transformer (big),lightbulb_photonic,38654705664,0.0002359296,0.03132210819584,30.5408
Transformer (big),pidcop_small_10G,38654705664,0.0009437184,0.08508753889279999,21.248
Transformer (big),pidcop_small_25G,38654705664,0.00037748736,0.08505922734079999,21.248
Transformer (big),pidcop_large_10G,38654705664,0.00018134127258397447,0.0850494200364292,108.332
Transformer (big),pidcop_large_25G,38654705664,7.253650903358979e-05,0.08504397979825168,108.332
Transformer (big),pidcop_asymmetric_10G,38654705664,0.00041368477808219177,0.0850610372117041,47.488
Transformer (big),pidcop_asymmetric_25G,38654705664,0.00016547391123287672,0.08504862666836163,47.488
Transformer (big),pixel_photonic,38654705664,0.0009437184,0.0406157527552,8.8
Transformer (big),tpu_v4,38654705664,3.145728e-05,0.047643937996799994,24.576
BERT-base,deap_cnn,43486543872,0.0010616832,0.035478692372480004,10.8352
BERT-base,gpu_a100,43486543872,9.885102716857611e-05,0.0701723671664288,15.600000000000001
BERT-base,holylight,43486543872,0.000663552,0.03568550820864,16.864
BERT-base,lightbulb_photonic,43486543872,0.0002654208,0.035237371704319995,30.5408
BERT-base,pidcop_small_10G,43486543872,0.0010616832,0.0957234811904,21.248
BERT-base,pidcop_small_25G,43486543872,0.00042467328,0.09569163069440001,21.248
BERT-base,pidcop_large_10G,43486543872,0.00020400893165697129,0.09568059747698285,108.332
BERT-base,pidcop_large_25G,43486543872,8.160357266278851e-05,0.09567447720903315,108.332
BERT-base,pidcop_asymmetric_10G,43486543872,0.0004653953753424658,0.09569366679916713,47.488
BERT-base,pidcop_asymmetric_25G,43486543872,0.0001861581501369863,0.09567970493790685,47.488
BERT-base,pixel_photonic,43486543872,0.0010616832,0.0456927218176,8.8
BERT-base,tpu_v4,43486543872,3.538944e-05,0.0535994302464,24.576
BERT-large,deap_cnn,154618822656,0.0037748736,0.12614646124544002,10.8352
BERT-large,gpu_a100,154618822656,0.00035147031882160393,0.2495017499250802,15.600000000000001
BERT-large,holylight,154618822656,0.002359296,0.12688180657151998,16.864
BERT-large,lightbulb_photonic,154618822656,0.0009437184,0.12528843239936,30.5408
BERT-large,pidcop_small_10G,154618822656,0.0037748736,0.34035015403519997,21.248
BERT-large,pidcop_small_25G,154618822656,0.00150994944,0.34023690782719995,21.248
BERT-large,pidcop_large_10G,154618822656,0.0007253650903358979,0.3401976786097168,108.332
BERT-large,pidcop_large_25G,154618822656,0.00029014603613435915,0.3401759176570067,108.332
BERT-large,pidcop_asymmetric_10G,154618822656,0.001654739112328767,0.3402441473108164,47.488
BERT-large,pidcop_asymmetric_25G,154618822656,0.0006618956449315069,0.34019450513744653,47.488
BERT-large,pixel_photonic,154618822656,0.0037748736,0.1624630102528,8.8
