Model,Hardware,Total MACs,Latency (s),Energy (J),Area (mm^2)
Transformer (base),gpu_a100,9663676416,2.1966894926350246e-05,0.015593859370317513,15.600000000000001
Transformer (base),pidcop_small,9663676416,0.002359296,0.0213780534272,21.248
Transformer (base),pidcop_large,9663676416,0.0004533531814599362,0.021282756286272998,108.332
Transformer (base),pidcop_asymmetric,9663676416,0.004718592,0.0214960182272,11.008000000000001
Transformer (base),pixel_photonic,9663676416,0.0002359296,0.0101539383808,8.8
Transformer (big),gpu_a100,38654705664,8.786757970540098e-05,0.06237543748127005,15.600000000000001
Transformer (big),pidcop_small,38654705664,0.009437184,0.08551221217279999,21.248
Transformer (big),pidcop_large,38654705664,0.0018134127258397448,0.08513102360909199,108.332
Transformer (big),pidcop_asymmetric,38654705664,0.018874368,0.0859840713728,11.008000000000001
Transformer (big),pixel_photonic,38654705664,0.0009437184,0.0406157527552,8.8
BERT-base,gpu_a100,43486543872,9.885102716857611e-05,0.0701723671664288,15.600000000000001
BERT-base,pidcop_small,43486543872,0.010616832,0.0962012386304,21.248
BERT-base,pidcop_large,43486543872,0.002040089316569713,0.0957724014962285,108.332
BERT-base,pidcop_asymmetric,43486543872,0.021233664,0.0967320802304,11.008000000000001
BERT-base,pixel_photonic,43486543872,0.0010616832,0.0456927218176,8.8
BERT-large,gpu_a100,154618822656,0.00035147031882160393,0.2495017499250802,15.600000000000001
BERT-large,pidcop_small,154618822656,0.037748736,0.34204884715519995,21.248
BERT-large,pidcop_large,154618822656,0.007253650903358979,0.34052409290036795,108.332
BERT-large,pidcop_asymmetric,154618822656,0.075497472,0.3439362839552,11.008000000000001
BERT-large,pixel_photonic,154618822656,0.0037748736,0.1624630102528,8.8
GPT-2 Large,gpu_a100,724775731200,0.0016475171194762683,1.1695394527738134,15.600000000000001
GPT-2 Large,pidcop_small,724775731200,0.1769472,1.603353969664,21.248
GPT-2 Large,pidcop_large,724775731200,0.034001488609495215,1.5962066840944746,108.332
GPT-2 Large,pidcop_asymmetric,724775731200,0.3538944,1.6122013296639999,11.008000000000001
GPT-2 Large,pixel_photonic,724775731200,0.01769472,0.761545359872,8.8
GPT-3 (175B),gpu_a100,356241767399424,0.8097876145649755,574.8520318273847,15.600000000000001
GPT-3 (175B),pidcop_small,356241767399424,86.973087744,788.0805426679808,21.248
GPT-3 (175B),pidcop_large,356241767399424,16.712411681339088,784.5675088648478,108.332
GPT-3 (175B),pidcop_asymmetric,356241767399424,173.946175488,792.4291970551808,11.008000000000001
GPT-3 (175B),pixel_photonic,356241767399424,8.6973087744,374.3147750336512,8.8
T5-3B,gpu_a100,463856467968,0.0010544109564648118,0.7485052497752407,15.600000000000001
T5-3B,pidcop_small,463856467968,0.113246208,1.0261465404416,21.248
T5-3B,pidcop_large,463856467968,0.02176095271007694,1.0215722776771037,108.332
T5-3B,pidcop_asymmetric,463856467968,0.226492416,1.0318088508416,11.008000000000001
T5-3B,pixel_photonic,463856467968,0.0113246208,0.4873890302464,8.8
OPT-350M,gpu_a100,347892350976,0.0007908082173486089,0.5613789373314304,15.600000000000001
OPT-350M,pidcop_small,347892350976,0.084934656,0.7696099069952,21.248
OPT-350M,pidcop_large,347892350976,0.016320714532557703,0.766179209921828,108.332
OPT-350M,pidcop_asymmetric,347892350976,0.169869312,0.7738566397952,11.008000000000001
OPT-350M,pixel_photonic,347892350976,0.0084934656,0.3655417735168,8.8
