Model,Hardware,Latency (s),Energy (J),Area (mm^2),Latency Breakdown,Energy Breakdown,Area Breakdown
Transformer (base),deap_cnn,2.5807564800000002,0.09558472384512001,10.8352,"{'QKV_proj': 0.0003145728, 'Attention': 0.0002097152, 'Softmax': 2.048e-07, 'MHA_proj': 0.0001048576, 'FFN_1': 0.2147483648, 'FFN_2': 0.2147483648, 'Total_Latency': 2.5807564800000002}","{'MAC': 9.677832191999999e-05, 'DAC': 0.0051615105024, 'ADC': 1.2288000000000001e-09, 'Static': 0.090326433792, 'Total_Energy': 0.09558472384512001}","{'MAC_array': 10.24, 'PCA': 0.48, 'ADC': 0.1152, 'Total_Area': 10.8352}"
Transformer (base),gpu_a100,36.60647489361702,1830.3325510236812,15.600000000000001,"{'QKV_proj': 0.004462025531914894, 'Attention': 0.0029746836879432624, 'Softmax': 2.904964539007092e-06, 'MHA_proj': 0.0014873418439716312, 'FFN_1': 3.0460760964539007, 'FFN_2': 3.0460760964539007, 'Total_Latency': 36.60647489361702}","{'MAC': 0.009677832192, 'DAC': 0.0, 'ADC': 0.0, 'Static': 1830.3228731914892, 'Total_Energy': 1830.3325510236812}","{'MAC_array': 15.600000000000001, 'PCA': 0.0, 'ADC': 0.0, 'Total_Area': 15.600000000000001}"
Transformer (base),holylight,3.2259455999999997,0.13432831174656001,16.864,"{'QKV_proj': 0.000393216, 'Attention': 0.000262144, 'Softmax': 2.56e-07, 'MHA_proj': 0.000131072, 'FFN_1': 0.268435456, 'FFN_2': 0.268435456, 'Total_Latency': 3.2259455999999997}","{'MAC': 0.00012903776256, 'DAC': 0.0051615105024, 'ADC': 9.216e-10, 'Static': 0.12903776256000002, 'Total_Energy': 0.13432831174656001}","{'MAC_array': 16.384, 'PCA': 0.384, 'ADC': 0.096, 'Total_Area': 16.864}"
Transformer (base),lightbulb_photonic,2.5807564800000002,0.13426379271167999,30.5408,"{'QKV_proj': 0.0003145728, 'Attention': 0.0002097152, 'Softmax': 2.048e-07, 'MHA_proj': 0.0001048576, 'FFN_1': 0.2147483648, 'FFN_2': 0.2147483648, 'Total_Latency': 2.5807564800000002}","{'MAC': 6.451888128e-05, 'DAC': 0.0051615105024, 'ADC': 7.68e-10, 'Static': 0.12903776256, 'Total_Energy': 0.13426379271167999}","{'MAC_array': 29.4912, 'PCA': 0.896, 'ADC': 0.1536, 'Total_Area': 30.5408}"
Transformer (base),pidcop_small_10G,2.5807564800000002,0.14323191951359998,21.248,"{'QKV_proj': 0.0003145728, 'Attention': 0.0002097152, 'Softmax': 2.048e-07, 'MHA_proj': 0.0001048576, 'FFN_1': 0.2147483648, 'FFN_2': 0.2147483648, 'Total_Latency': 2.5807564800000002}","{'MAC': 0.0012903776256, 'DAC': 0.012903776256, 'ADC': 3.072e-09, 'Static': 0.12903776256, 'Total_Energy': 0.14323191951359998}","{'MAC_array': 20.48, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 21.248}"
Transformer (base),pidcop_small_25G,1.0323025919999997,0.0658092619776,21.248,"{'QKV_proj': 0.00012582912, 'Attention': 8.388608e-05, 'Softmax': 8.192e-08, 'MHA_proj': 4.194304e-05, 'FFN_1': 0.08589934592, 'FFN_2': 0.08589934592, 'Total_Latency': 1.0323025919999997}","{'MAC': 0.0012903776256, 'DAC': 0.012903776256, 'ADC': 3.072e-09, 'Static': 0.051615105024, 'Total_Energy': 0.0658092619776}","{'MAC_array': 20.48, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 21.248}"
Transformer (base),pidcop_large_10G,2.5807564800000002,0.14323191951359998,108.332,"{'QKV_proj': 0.0003145728, 'Attention': 0.0002097152, 'Softmax': 2.048e-07, 'MHA_proj': 0.0001048576, 'FFN_1': 0.2147483648, 'FFN_2': 0.2147483648, 'Total_Latency': 2.5807564800000002}","{'MAC': 0.0012903776256, 'DAC': 0.012903776256, 'ADC': 3.072e-09, 'Static': 0.12903776256, 'Total_Energy': 0.14323191951359998}","{'MAC_array': 106.58, 'PCA': 1.46, 'ADC': 0.292, 'Total_Area': 108.332}"
Transformer (base),pidcop_large_25G,1.0323025919999997,0.0658092619776,108.332,"{'QKV_proj': 0.00012582912, 'Attention': 8.388608e-05, 'Softmax': 8.192e-08, 'MHA_proj': 4.194304e-05, 'FFN_1': 0.08589934592, 'FFN_2': 0.08589934592, 'Total_Latency': 1.0323025919999997}","{'MAC': 0.0012903776256, 'DAC': 0.012903776256, 'ADC': 3.072e-09, 'Static': 0.051615105024, 'Total_Energy': 0.0658092619776}","{'MAC_array': 106.58, 'PCA': 1.46, 'ADC': 0.292, 'Total_Area': 108.332}"
Transformer (base),pidcop_asymmetric_10G,2.5807564800000002,0.14323191951359998,47.488,"{'QKV_proj': 0.0003145728, 'Attention': 0.0002097152, 'Softmax': 2.048e-07, 'MHA_proj': 0.0001048576, 'FFN_1': 0.2147483648, 'FFN_2': 0.2147483648, 'Total_Latency': 2.5807564800000002}","{'MAC': 0.0012903776256, 'DAC': 0.012903776256, 'ADC': 3.072e-09, 'Static': 0.12903776256, 'Total_Energy': 0.14323191951359998}","{'MAC_array': 46.72, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 47.488}"
Transformer (base),pidcop_asymmetric_25G,1.0323025919999997,0.0658092619776,47.488,"{'QKV_proj': 0.00012582912, 'Attention': 8.388608e-05, 'Softmax': 8.192e-08, 'MHA_proj': 4.194304e-05, 'FFN_1': 0.08589934592, 'FFN_2': 0.08589934592, 'Total_Latency': 1.0323025919999997}","{'MAC': 0.0012903776256, 'DAC': 0.012903776256, 'ADC': 3.072e-09, 'Static': 0.051615105024, 'Total_Energy': 0.0658092619776}","{'MAC_array': 46.72, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 47.488}"
Transformer (base),pixel_photonic,2.5807564800000002,0.08419714160639999,8.8,"{'QKV_proj': 0.0003145728, 'Attention': 0.0002097152, 'Softmax': 2.048e-07, 'MHA_proj': 0.0001048576, 'FFN_1': 0.2147483648, 'FFN_2': 0.2147483648, 'Total_Latency': 2.5807564800000002}","{'MAC': 0.0003225944064, 'DAC': 0.006451888128, 'ADC': 1.536e-09, 'Static': 0.07742265753599999, 'Total_Energy': 0.08419714160639999}","{'MAC_array': 8.192, 'PCA': 0.512, 'ADC': 0.096, 'Total_Area': 8.8}"
Transformer (base),tpu_v4,25.807564799999998,1032.3098427457537,24.576,"{'QKV_proj': 0.003145728, 'Attention': 0.002097152, 'Softmax': 2.048e-06, 'MHA_proj': 0.001048576, 'FFN_1': 2.147483648, 'FFN_2': 2.147483648, 'Total_Latency': 25.807564799999998}","{'MAC': 0.007742265753599999, 'DAC': 0.0, 'ADC': 0.0, 'Static': 1032.30210048, 'Total_Energy': 1032.3098427457537}","{'MAC_array': 24.576, 'PCA': 0.0, 'ADC': 0.0, 'Total_Area': 24.576}"
